index,item,IPIP100,BFAS,HEXACO,QB6,MPQ,IPIPneo
q_1780,Am willing to take risks.,NULL,NULL,NULL,QB6:H,NULL,NULL
q_1787,Take things as they come.,NULL,NULL,H:A:G,NULL,NULL,NULL
q_1792,Take time out for others.,B5:A,NULL,NULL,NULL,NULL,NULL
q_1795,Talk a lot.,NULL,NULL,H:X:E,NULL,NULL,NULL
q_1803,Talk to a lot of different people at parties.,B5:E,NULL,H:X:S,QB6:X,NULL,E2:GR
q_1808,Tell other people what they want to hear so that they will do what I want them to do.,NULL,NULL,H:H:S,NULL,NULL,NULL
q_1810,Tell people about it when I'm irritated.,NULL,NULL,H:X:E,NULL,NULL,NULL
q_1832,Think of others first.,B5:A,NULL,NULL,NULL,NULL,NULL
q_1834,Think quickly.,NULL,BFAS:O:I,NULL,NULL,NULL,NULL
q_1848,Tire out quickly.,NULL,NULL,H:X:L,NULL,NULL,NULL
q_1853,Tremble in dangerous situations.,NULL,NULL,H:E:F,NULL,NULL,NULL
q_1861,Try to avoid complex people.,B5:O,NULL,H:O:U,NULL,NULL,NULL
q_1867,Try to follow the rules.,NULL,NULL,H:H:F,NULL,NULL,C3:DU
q_1869,Try to forgive and forget.,NULL,NULL,H:A:FO,NULL,MPQ:AG,NULL
q_1871,Try to impress others.,NULL,NULL,H:H:GA,NULL,NULL,NULL
q_1893,Use difficult words.,B5:O,NULL,NULL,NULL,NULL,NULL
q_1894,Use flattery to get ahead.,NULL,NULL,H:H:S,NULL,NULL,A2:MO
q_1896,Use others for my own ends.,NULL,NULL,NULL,QB6:H,NULL,A2:MO
q_1904,Usually like to spend my free time with people.,NULL,NULL,H:X:S,NULL,NULL,NULL
q_1913,Wait for others to lead the way.,B5:E,BFAS:E:A,NULL,NULL,NULL,E3:AS
q_1915,Want every detail taken care of.,NULL,BFAS:C:O,H:C:PE,NULL,NULL,NULL
q_1916,Want everything to add up perfectly.,NULL,NULL,H:C:PE,NULL,NULL,NULL
q_1917,Want everything to be just right.,NULL,BFAS:C:O,H:C:O,NULL,NULL,C2:OR
q_1924,Want to be liked.,NULL,NULL,H:E:D,NULL,NULL,NULL
q_1943,Warm up quickly to others.,NULL,BFAS:E:E,NULL,NULL,MPQ:SC,E1:FR
q_1949,Waste my time.,B5:C,BFAS:C:I,NULL,QB6:C,NULL,C5:SD
q_1957,Often bothered by at least one in group interactions.,NULL,NULL,H:A:FL,NULL,NULL,NULL
q_1964,Will not probe deeply into a subject.,B5:O,NULL,H:O:I,NULL,NULL,NULL
q_1969,Wish to stay young forever.,NULL,NULL,H:H:GA,NULL,NULL,NULL
q_1979,Work hard.,NULL,NULL,H:C:D,NULL,MPQ:AC,C4:AS
q_1989,Worry about things.,B5:ES,BFAS:N:W,H:E:A,NULL,MPQ:SR,N1:ANX
q_1992,Would be afraid to give a speech in public.,NULL,NULL,H:X:SB,NULL,NULL,NULL
q_1993,Would be good at rescuing people from a burning building.,NULL,NULL,H:E:F,NULL,NULL,NULL
q_2001,Would fear walking in a high-crime part of a city.,NULL,NULL,H:E:F,NULL,NULL,NULL
q_2003,Would feel very badly for a long time if I were to steal from someone.,NULL,NULL,H:H:F,NULL,NULL,NULL
q_2005,Would hate to be considered odd or strange.,NULL,NULL,H:O:U,NULL,NULL,NULL
q_2008,Would like to have more power than other people.,NULL,NULL,H:H:M,NULL,NULL,NULL
q_2011,Would love to explore strange places.,NULL,NULL,H:O:I,NULL,NULL,NULL
q_2016,Would never cheat on my taxes.,NULL,NULL,H:H:F,NULL,NULL,A2:MO
q_2018,Would never go riding down a stretch of rapids in a canoe.,NULL,NULL,H:E:F,NULL,NULL,NULL
q_2021,Would never take things that aren't mine.,NULL,NULL,H:H:F,QB6:H,MPQ:AG,NULL
q_2024,Would not enjoy a highly social job,NULL,NULL,H:X:S,NULL,NULL,NULL
q_2025,Would not enjoy being a famous celebrity.,NULL,NULL,H:H:GA,NULL,NULL,NULL
q_2029,Would not regret my behavior if I were to take advantage of someone impulsively.,NULL,NULL,H:H:F,NULL,NULL,NULL
q_2160,Am not a very enthusiastic person.,NULL,BFAS:E:E,NULL,NULL,NULL,NULL
q_2161,Do not have an assertive personality.,NULL,BFAS:E:A,NULL,NULL,NULL,NULL
q_2737,Am a goal-oriented person.,NULL,NULL,NULL,QB6:C,NULL,NULL
q_2756,Am considered to be a wise person.,NULL,NULL,NULL,QB6:O,NULL,NULL
q_2775,Am not all that curious about the world.,NULL,NULL,NULL,QB6:O,NULL,NULL
q_2853,Cannot imagine lying or cheating.,NULL,NULL,NULL,QB6:H,NULL,NULL
q_2891,Don't pride myself on being original.,NULL,NULL,NULL,QB6:O,NULL,NULL
q_2900,Don't think it's important to socialize with others.,NULL,NULL,NULL,QB6:X,NULL,NULL
