instrument,alpha,key,text,label
AB5C,0.73,-1,Can manage many things at the same time.,Cooperation
AB5C,0.77,1,Can manage many things at the same time.,Depth
AB5C,0.77,1,Can never find anything.,Cautiousness
AB5C,0.74,-1,Can perform a wide variety of tasks.,Sympathy
AB5C,0.76,1,Can perform a wide variety of tasks.,Tranquility
AB5C,0.77,1,Can perform a wide variety of tasks.,Depth
AB5C,0.78,1,Can play many roles convincingly.,Organization
AB5C,0.77,1,Can predict the outcome of events.,Depth
AB5C,0.71,1,Can remain cool-headed when stressed out.,Nurturance
AB5C,0.73,-1,Can say things beautifully.,Cooperation
AB5C,0.7,-1,Can see different points of view.,Empathy
AB5C,0.76,1,Can see into the future.,Pleasantness
AB5C,0.76,1,Can slow myself down when I want to.,Pleasantness
AB5C,0.74,-1,Can stand criticism.,Sympathy
AB5C,0.84,-1,Can stand criticism.,Quickness
AB5C,0.73,1,Can stay on a diet.,Morality
AB5C,0.73,-1,Can tackle anything.,Cool-headedness
AB5C,0.75,1,Can tackle anything.,Assertiveness
AB5C,0.71,-1,Can take strong measures.,Nurturance
AB5C,0.7,1,Can take strong measures.,Empathy
AB5C,0.81,1,Can take strong measures.,Intellect
AB5C,0.73,-1,Can talk others into doing things.,Morality
AB5C,0.75,1,Can talk others into doing things.,Assertiveness
AB5C,0.81,1,Can talk others into doing things.,Intellect
AB5C,0.74,1,Can talk others into doing things.,Competence
AB5C,0.73,1,Can talk others into doing things.,Cooperation
AB5C,0.72,-1,Can work under pressure.,Provocativeness
AB5C,0.76,1,Can work under pressure.,Perfectionism
AB5C,0.73,-1,Can’t be bothered with other’s needs.,Cool-headedness
AB5C,0.76,1,Cannot be counted on to get things done.,Perfectionism
AB5C,0.73,-1,Cannot imagine lying or cheating.,Cool-headedness
AB5C,0.76,1,Can't be bothered with other's needs.,Perfectionism
AB5C,0.71,1,Can't be bothered with other's needs.,Introspection/Private Self-Consciousness
AB5C,0.73,-1,Can't be bothered with others’ needs.,Cool-headedness
AB5C,0.74,1,Can't come up with new ideas.,Tenderness
AB5C,0.74,1,Can't concentrate.,Tenderness
AB5C,0.85,1,Can't do without the company of others.,Friendliness
AB5C,0.83,-1,Can't do without the company of others.,Efficiency
AB5C,0.84,-1,Can't do without the company of others.,Imperturbability
AB5C,0.71,1,Can't do without the company of others.,Nurturance
AB5C,0.78,1,Can't help but look upset when something bad happens.,Orderliness
AB5C,0.7,1,Can't make up my mind.,Empathy
AB5C,0.84,-1,Can't make up my mind.,Happiness
AB5C,0.73,1,Can't make up my mind.,Morality
AB5C,0.71,1,Can't make up my mind.,Nurturance
Barchard2001,"0.59,0.63",-1,Can't make up my mind.,Responsive Distress
Barchard2001,"0.64,0.80",1,Can't resist eating candy or cookies if they are around.,Empathy
Barchard2001,"0.59,0.63",1,Can't stand being alone.,Responsive Distress
Barchard2001,"0.59,0.63",1,Can't stand being contradicted.,Responsive Distress
Barchard2001,"0.59,0.63",-1,Can't stand being contradicted.,Responsive Distress
Barchard2001,"0.81,0.83",-1,Can't stand being contradicted.,Attention to Emotions
Barchard2001,"0.73,0.70",1,Can't stand being contradicted.,Responsive Joy
Barchard2001,"0.73,0.70",-1,Can't stand confrontations.,Responsive Joy
Barchard2001,"0.59,0.63",-1,Can't stand confrontations.,Responsive Distress
Barchard2001,"0.59,0.63",1,Can't stand on my own.,Responsive Distress
Barchard2001,"0.81,0.83",1,Can't stand weak people.,Attention to Emotions
Barchard2001,"0.73,0.67",1,Can't wait to get started on a project.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Care about justice.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,Care about others.,Emotion-based Decision-making
Barchard2001,"0.64,0.80",1,Care for cattle or horses,Empathy
Barchard2001,"0.64,0.80",1,Care for sick people,Empathy
Barchard2001,"0.75,0.74",1,Cared for a pet animal.,Negative Expressivity
Barchard2001,"0.73,0.70",-1,Cared for a potted plant.,Responsive Joy
Barchard2001,"0.73,0.70",-1,Carry out medical research,Responsive Joy
Barchard2001,"0.64,0.80",-1,Carry out my plans.,Empathy
Barchard2001,"0.81,0.79",1,Carry out my plans.,Positive Expressivity
Barchard2001,"0.81,0.79",1,Carry out my plans.,Positive Expressivity
Barchard2001,"0.64,0.80",-1,Carry out my plans.,Empathy
Barchard2001,"0.73,0.70",1,Carry out my plans.,Responsive Joy
Barchard2001,"0.64,0.80",1,Carry out my plans.,Empathy
Barchard2001,"0.81,0.79",-1,Carry out my plans.,Positive Expressivity
Barchard2001,"0.75,0.74",-1,Carry the conversation to a higher level.,Negative Expressivity
Barchard2001,"0.73,0.70",1,Carry the conversation to a higher level.,Responsive Joy
Barchard2001,"0.73,0.70",1,Carry the conversation to a higher level.,Responsive Joy
Barchard2001,"0.81,0.79",-1,Carry the conversation to a higher level.,Positive Expressivity
Barchard2001,"0.64,0.80",-1,Carry the conversation to a higher level.,Empathy
Barchard2001,"0.64,0.80",-1,Carry the conversation to a higher level.,Empathy
Barchard2001,"0.81,0.79",1,Catch on to things quickly.,Positive Expressivity
Barchard2001,"0.75,0.74",-1,Catch on to things quickly.,Negative Expressivity
Barchard2001,"0.75,0.74",-1,Challenge others' points of view.,Negative Expressivity
Barchard2001,"0.81,0.79",-1,Challenge others' points of view.,Positive Expressivity
Barchard2001,"0.81,0.79",1,Challenge others' points of view.,Positive Expressivity
Barchard2001,"0.73,0.70",1,Change my mood a lot.,Responsive Joy
Barchard2001,"0.73,0.67",-1,Change my mood a lot.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Change my mood a lot.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Change my mood a lot.,Emotion-based Decision-making
Barchard2001,"0.64,0.80",-1,Change my mood a lot.,Empathy
Barchard2001,"0.73,0.67",-1,Change myself to suit others.,Emotion-based Decision-making
Barchard2001,"0.81,0.83",1,Change myself to suit others.,Attention to Emotions
Barchard2001,"0.81,0.83",-1,Changed a habit to have less impact on the environment.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Cheat on people who have trusted me.,Attention to Emotions
Barchard2001,"0.81,0.83",1,Cheat to get ahead.,Attention to Emotions
Barchard2001,"0.73,0.67",1,Cheat to get ahead.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,Cheat to get ahead.,Emotion-based Decision-making
Barchard2001,"0.81,0.83",-1,Cheat to get ahead.,Attention to Emotions
Barchard2001,"0.59,0.63",-1,Cheat to get ahead.,Responsive Distress
Barchard2001,"0.73,0.70",-1,Cheat to get ahead.,Responsive Joy
Barchard2001,"0.81,0.83",-1,Cheat to get ahead.,Attention to Emotions
Barchard2001,"0.75,0.74",-1,Check on things more often than necessary.,Negative Expressivity
Barchard2001,"0.81,0.83",-1,Check over my work.,Attention to Emotions
Barchard2001,"0.59,0.63",-1,Checked the sales ads in a newspaper.,Responsive Distress
Barchard2001,"0.75,0.74",1,Cheer loudly at sporting events.,Negative Expressivity
Barchard2001,"0.75,0.74",1,Cheer people up.,Negative Expressivity
Barchard2001,"0.81,0.79",1,Cheer people up.,Positive Expressivity
Barchard2001,"0.75,0.74",1,Cheer people up.,Negative Expressivity
Barchard2001,"0.81,0.79",1,Cherish mementos.,Positive Expressivity
Barchard2001,"0.59,0.63",1,Chewed gum.,Responsive Distress
Barchard2001,"0.75,0.74",1,Choose my words with care.,Negative Expressivity
Barchard2001,"0.64,0.80",1,Choose my words with care.,Empathy
Barchard2001,"0.81,0.83",1,Choose my words with care.,Attention to Emotions
Barchard2001,"0.73,0.70",1,Choose the easy way.,Responsive Joy
Barchard2001,"0.75,0.74",-1,Chose to spend a day by myself.,Negative Expressivity
Barchard2001,"0.59,0.63",1,Cleaned the house.,Responsive Distress
BFAS,0.81,1,Come straight to the point.,Industriousness/Perseverance/Persistence
BFAS,0.89,1,Come up with a solution right away.,Neuroticism
BFAS,0.89,1,Come up with alternatives.,Anger
BFAS,0.89,1,Come up with bold plans.,Neuroticism
BFAS,0.84,1,Come up with good solutions.,Anxiety
BFAS,0.89,1,Come up with good solutions.,Neuroticism
BFAS,0.84,1,Come up with good solutions.,Anxiety
BFAS,0.81,-1,Come up with good solutions.,Industriousness/Perseverance/Persistence
BFAS,0.89,1,Come up with new ways to do things.,Neuroticism
BFAS,0.84,1,Come up with something new.,Anxiety
BFAS,0.81,-1,Come up with something new.,Vitality/Enthusiasm/Zest
BFAS,0.84,-1,Come up with unworkable plans.,Compassion
BFAS,0.81,-1,Comment loudly about others.,Vitality/Enthusiasm/Zest
BFAS,0.89,-1,Compete in athletic events,Neuroticism
BFAS,0.89,-1,Complete tasks successfully.,Anger
BFAS,0.89,-1,Complete tasks successfully.,Neuroticism
BFAS,0.84,-1,Complete tasks successfully.,Anxiety
BFAS,0.84,-1,Complete tasks successfully.,Compassion
BFAS,0.75,-1,Complete tasks successfully.,Positive Expressivity
BFAS,0.84,1,Complete tasks successfully.,Intellectual Openness
BFAS,0.84,1,Complete tasks successfully.,Intellect
BFAS,0.85,1,Complete tasks successfully.,Assertiveness
BFAS,0.84,-1,Complete tasks successfully.,Intellectual Openness
BFAS,0.75,1,Composted food scraps or yard waste.,Positive Expressivity
BFAS,0.84,-1,Conform to others' opinions.,Intellectual Openness
BFAS,0.84,-1,Conform to others' opinions.,Intellect
BFAS,0.89,1,Consider myself an average person.,Neuroticism
BFAS,0.84,1,Consider myself an average person.,Anxiety
BFAS,0.78,1,Consider myself an average person.,Intellectual Openness
BFAS,0.78,1,Consider myself an average person.,Aesthetic Appreciation/Artistic Interests
BFAS,0.75,-1,Consider myself to be a wise person.,Positive Expressivity
BFAS,0.89,1,Construct new buildings,Neuroticism
BFAS,0.89,1,Consult the library or the Internet immediately if I want to know something.,Anger
BFAS,0.84,1,Continue until everything is perfect.,Intellectual Openness
BFAS,0.84,1,Continue until everything is perfect.,Intellect
BFAS,0.85,1,Continue until everything is perfect.,Assertiveness
BFAS,0.84,-1,Continue until everything is perfect.,Compassion
BFAS,0.81,1,Continue until everything is perfect.,Industriousness/Perseverance/Persistence
BFAS,0.89,1,Continue until everything is perfect.,Neuroticism
BFAS,0.89,1,Continue until everything is perfect.,Anger
BFAS,0.85,-1,Contradict others,Assertiveness
BFAS,0.78,-1,Contradict others.,Intellectual Openness
BFAS,0.78,-1,Contradict others.,Aesthetic Appreciation/Artistic Interests
BFAS,0.84,-1,Contradict others.,Compassion
BFAS,0.81,-1,Cooked a meal.,Industriousness/Perseverance/Persistence
BFAS,0.78,1,Copy others.,Intellectual Openness
BFAS,0.78,1,Could be a success in many fields.,Aesthetic Appreciation/Artistic Interests
BFAS,0.89,-1,Could easily live without having sex.,Neuroticism
BFAS,0.84,-1,"Could never stop loving my family and close friends, no matter what they did.",Anxiety
BFAS,0.84,1,Could not get going.,Compassion
BFAS,0.89,1,Counsel persons who need help,Neuroticism
BFAS,0.81,-1,Counter others' arguments.,Industriousness/Perseverance/Persistence
BFAS,0.81,1,Crave the experience of great art.,Industriousness/Perseverance/Persistence
BFAS,0.84,1,Create new fashion designs,Intellectual Openness
BFAS,0.84,1,Create works of art,Intellect
BFAS,0.89,1,Criticize others' shortcomings.,Neuroticism
BFAS,0.89,1,Criticize others' shortcomings.,Anger
BFAS,0.78,1,Cry during movies.,Intellectual Openness
BFAS,0.78,1,Cry during movies.,Aesthetic Appreciation/Artistic Interests
BFAS,0.89,1,Cry during movies.,Neuroticism
BFAS,0.89,1,Cry easily.,Anger
BFAS,0.81,1,Cry easily.,Industriousness/Perseverance/Persistence
BFAS,0.89,1,Cry easily.,Neuroticism
BFAS,0.89,1,Cultivate plants,Anger
BFAS,0.75,1,Cut conversations short.,Positive Expressivity
BFAS,0.81,1,Cut others to pieces.,Vitality/Enthusiasm/Zest
BFAS,0.84,1,Cut others to pieces.,Intellectual Openness
BFAS,0.85,1,Dare to say anything.,Assertiveness
BFAS,0.84,-1,Debate topics in a public meeting,Intellectual Openness
BFAS,0.85,-1,Deceive people.,Assertiveness
BFAS,0.84,1,Demand a lot from others.,Compassion
BFAS,0.75,-1,Demand attention,Positive Expressivity
BFAS,0.89,-1,Demand attention.,Neuroticism
BFAS,0.89,-1,Demand attention.,Anger
BFAS,0.81,-1,Demand attention.,Vitality/Enthusiasm/Zest
BFAS,0.8,1,Demand explanations from others.,Orderliness
BFAS,0.85,1,Demand explanations from others.,Assertiveness
BFAS,0.85,-1,Demand obedience.,Assertiveness
BFAS,0.81,1,Demand perfection in others.,Vitality/Enthusiasm/Zest
BFAS,0.84,-1,Demand quality.,Intellectual Openness
BFAS,0.84,-1,Demand quality.,Intellect
BFAS,0.84,1,Demand quality.,Compassion
BFAS,0.84,1,Demand to be the center of interest.,Intellectual Openness
BFAS,0.84,1,Demand to be the center of interest.,Intellect
BFAS,0.75,-1,Deserve special treatment from others.,Positive Expressivity
BFAS,0.78,1,Design a laboratory experiment,Intellectual Openness
BFAS,0.78,1,Design Internet web pages,Aesthetic Appreciation/Artistic Interests
BFAS,0.81,1,Detect mistakes.,Vitality/Enthusiasm/Zest
BFAS,0.81,-1,Detect mistakes.,Industriousness/Perseverance/Persistence
BFAS,0.78,1,Develop a computer program,Intellectual Openness
BFAS,0.78,1,Develop an office filing system,Aesthetic Appreciation/Artistic Interests
BFAS,0.81,-1,Did aerobic exercise.,Industriousness/Perseverance/Persistence
BFAS,0.89,-1,"Did not feel like eating, even though I should have been hungry.",Neuroticism
BFAS,0.84,-1,Did yard work.,Anxiety
BFAS,0.81,-1,Did yoga or other movement exercises.,Vitality/Enthusiasm/Zest
BFAS,0.89,-1,Dined by candle light.,Neuroticism
BFAS,0.89,-1,Disclose my intimate thoughts.,Anger
BFAS,0.89,-1,Disclose my intimate thoughts.,Neuroticism
BFAS,0.89,-1,Discussed religion or spirituality.,Anger
BFAS,0.75,1,Discussed sports.,Positive Expressivity
BFAS,0.75,1,Dislike being around happy people when I'm feeling sad.,Positive Expressivity
BFAS,0.81,-1,Dislike being complimented.,Vitality/Enthusiasm/Zest
BFAS,0.78,1,Dislike being the center of attention,Intellectual Openness
BFAS,0.78,1,Dislike being the center of attention.,Aesthetic Appreciation/Artistic Interests
BFAS,0.85,1,Dislike being the center of attention.,Assertiveness
BFAS,0.75,-1,Dislike being the center of attention.,Positive Expressivity
BFAS,0.78,-1,Dislike being the center of attention.,Intellectual Openness
BFAS,0.78,-1,Dislike changes.,Aesthetic Appreciation/Artistic Interests
BFAS,0.89,-1,Dislike changes.,Neuroticism
BFAS,0.84,-1,Dislike children's birthday parties.,Anxiety
BFAS,0.78,-1,Dislike competing with others.,Intellectual Openness
BFAS,0.78,-1,Dislike having authority over others.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,-1,Dislike imperfect work.,Intellectual Openness
BFAS,0.78,-1,Dislike imperfect work.,Aesthetic Appreciation/Artistic Interests
BFAS,0.81,1,Dislike learning.,Vitality/Enthusiasm/Zest
BFAS,0.84,1,Dislike learning.,Compassion
BFAS,0.75,-1,Dislike learning.,Positive Expressivity
BFAS,0.84,1,Dislike learning.,Compassion
BFAS,0.84,-1,Dislike looking at my body.,Compassion
BFAS,0.84,1,Dislike looking at myself in the mirror.,Intellectual Openness
BFAS,0.84,1,Dislike loud music.,Intellect
BFAS,0.8,1,Dislike loud music.,Orderliness
BFAS,0.81,1,Dislike loud music.,Vitality/Enthusiasm/Zest
BFAS,0.81,-1,Dislike loud music.,Industriousness/Perseverance/Persistence
BFAS,0.89,1,Dislike movies with happy Hollywood endings.,Neuroticism
BFAS-20,0.91,-1,Dislike myself.,Extraversion
BFAS-20,0.88,1,Dislike myself.,Conscientiousness
BFAS-20,0.91,-1,Dislike myself.,Emotional Stability
BFAS-20,0.88,1,Dislike myself.,Conscientiousness
BFAS-20,0.9,1,Dislike myself.,Intellect
BFAS-20,0.9,1,Dislike myself.,Intellect
BFAS-20,0.88,-1,Dislike myself.,Agreeableness
BFAS-20,0.88,-1,Dislike myself.,Agreeableness
BFAS-20,0.88,1,Dislike myself.,Agreeableness
BFAS-20,0.88,-1,Dislike myself.,Agreeableness
BFAS-20,0.88,1,Dislike myself.,Agreeableness
BFAS-20,0.91,-1,Dislike myself.,Extraversion
BFAS-20,0.91,1,Dislike myself.,Extraversion
BFAS-20,0.91,-1,Dislike neighbors living too close.,Extraversion
BFAS-20,0.9,1,Dislike new foods.,Intellect
BFAS-20,0.91,-1,Dislike new foods.,Emotional Stability
BFAS-20,0.88,1,Dislike new foods.,Conscientiousness
BFAS-20,0.9,-1,Dislike routine.,Intellect
BFAS-20,0.91,-1,Dislike taking responsibility for making decisions.,Extraversion
BFAS-20,0.91,1,Dislike taking responsibility for making decisions.,Extraversion
BFAS-20,0.91,1,Dislike talking about myself.,Extraversion
BFAS-20,0.91,1,Dislike talking about myself.,Extraversion
BFAS-20,0.88,-1,Dislike talking about myself.,Agreeableness
BFAS-20,0.91,-1,Dislike the unknown.,Emotional Stability
BFAS-20,0.88,-1,Dislike works of fiction.,Conscientiousness
BFAS-20,0.88,1,Disliked math in school.,Conscientiousness
BFAS-20,0.91,-1,Disliked math in school.,Emotional Stability
BFAS-20,0.91,-1,Disregard rules.,Emotional Stability
BFAS-20,0.88,1,Disregard rules.,Conscientiousness
BFAS-20,0.91,-1,Disregard rules.,Emotional Stability
BFAS-20,0.91,-1,Disregard the opinions of others.,Emotional Stability
BFAS-20,0.91,-1,Distrust people.,Emotional Stability
BFAS-20,0.91,-1,Distrust people.,Emotional Stability
BFAS-20,0.88,1,Distrust people.,Agreeableness
BFAS-20,0.9,1,Distrust people.,Intellect
BFAS-20,0.9,-1,Do a lot in my spare time.,Intellect
BFAS-20,0.91,-1,Do a lot in my spare time.,Extraversion
BFAS-20,0.88,1,Do a lot in my spare time.,Agreeableness
BFAS-20,0.91,1,Do a lot in my spare time.,Extraversion
BFAS-20,0.88,1,Do crazy things.,Agreeableness
BFAS-20,0.88,-1,Do crazy things.,Conscientiousness
BFAS-20,0.88,-1,Do crazy things.,Conscientiousness
BFAS-20,0.88,1,Do crazy things.,Conscientiousness
BFAS-20,0.88,1,Do crazy things.,Agreeableness
BFAS-20,0.88,1,Do crazy things.,Conscientiousness
BFAS-20,0.88,1,Do crazy things.,Agreeableness
BFAS-20,0.9,1,Do dangerous things.,Intellect
BFAS-20,0.9,1,Do dangerous things.,Intellect
BFAS-20,0.88,-1,Do dangerous things.,Conscientiousness
BFAS-20,0.88,1,Do dangerous things.,Conscientiousness
BFAS-20,0.91,-1,Do dangerous things.,Extraversion
BFAS-20,0.91,-1,Do improper things.,Emotional Stability
BFAS-20,0.91,1,Do improper things.,Emotional Stability
BFAS-20,0.91,1,Do just enough work to get by.,Emotional Stability
BFAS-20,0.88,-1,Do just enough work to get by.,Conscientiousness
BFAS-20,0.88,1,Do just enough work to get by.,Agreeableness
BFAS-20,0.9,1,Do just enough work to get by.,Intellect
BFAS-20,0.91,1,Do just enough work to get by.,Extraversion
BFAS-20,0.91,-1,Do more than what's expected of me.,Emotional Stability
BFAS-20,0.88,1,Do more than what's expected of me.,Agreeableness
BFAS-20,0.88,1,Do most of the talking.,Agreeableness
BFAS-20,0.91,-1,Do most of the talking.,Extraversion
BFAS-20,0.88,-1,Do my tasks only just before they need to be done.,Conscientiousness
BFAS-20,0.91,-1,Do not believe in a universal power or a God.,Emotional Stability
BIDR,0.87,1,Do not care how my actions affect others.,Impression-Management
BIDR,0.8,1,Do not easily share my feelings with others.,Self-deception
BIDR,0.79,-1,Do not enjoy going to art museums.,Cognitive-Failures
BIDR,0.87,-1,Do not enjoy going to art museums.,Impression-Management
BIDR,0.8,-1,Do not enjoy going to art museums.,Self-deception
BIDR,0.87,-1,Do not enjoy going to art museums.,Impression-Management
BIDR,0.87,1,Do not enjoy going to art museums.,Impression-Management
BIDR,0.87,-1,Do not enjoy watching dance performances.,Impression-Management
BIDR,0.79,1,Do not enjoy watching dance performances.,Cognitive-Failures
BIDR,0.87,-1,Do not enjoy watching dance performances.,Impression-Management
BIDR,0.8,-1,Do not enjoy watching dance performances.,Self-deception
BIDR,0.87,-1,Do not enjoy watching dance performances.,Impression-Management
BIDR,0.87,1,Do not exercise on a regular basis.,Impression-Management
BIDR,0.8,1,Do not feel close to people.,Self-deception
BIDR,0.87,-1,Do not give anyone a second chance to hurt me.,Impression-Management
BIDR,0.79,1,Do not go out of my way to make others smile or laugh.,Cognitive-Failures
BIDR,0.8,-1,Do not have a good imagination.,Self-deception
BIDR,0.79,1,Do not have a good imagination.,Cognitive-Failures
BIDR,0.87,-1,Do not have a good imagination.,Impression-Management
BIDR,0.8,1,Do not have a good imagination.,Self-deception
BIDR,0.8,1,Do not have a good imagination.,Self-deception
BIDR,0.79,1,Do not have an assertive personality.,Cognitive-Failures
BIDR,0.8,1,Do not like art.,Self-deception
BIDR,0.79,-1,Do not like art.,Cognitive-Failures
BIDR,0.87,-1,Do not like art.,Impression-Management
BIDR,0.79,1,Do not like art.,Cognitive-Failures
BIDR,0.79,-1,Do not like art.,Cognitive-Failures
BIDR,0.87,1,Do not like concerts.,Impression-Management
BIDR,0.87,1,Do not like concerts.,Impression-Management
BIDR,0.79,-1,Do not like concerts.,Cognitive-Failures
BIDR,0.87,1,Do not like concerts.,Impression-Management
BIDR,0.8,-1,Do not like concerts.,Self-deception
BIDR,0.79,1,Do not like poetry.,Cognitive-Failures
BIDR,0.87,1,Do not like poetry.,Impression-Management
BIDR,0.87,1,Do not like poetry.,Impression-Management
BIDR,0.87,-1,Do not like poetry.,Impression-Management
BIDR,0.87,-1,Do not like poetry.,Impression-Management
BIDR,0.8,-1,Do not like poetry.,Self-deception
BIDR,0.87,1,Do not like poetry.,Impression-Management
BIDR,0.87,1,Do not like poetry.,Impression-Management
BIS_BAS,1994,1,Do not like poetry.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do not like reading or hearing opinions that go against my way of thinking.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do not like to visit museums.,Anxiety
BIS_BAS,0.68,1,Do not plan ahead.,Excitement-seeking
BIS_BAS,1994,1,Do not practice any religion.,Behavioral Inhibition/Activation System
BIS_BAS,0.77,-1,Do not see the need to acknowledge others who are good to me.,Ambition/Drive
BIS_BAS,1994,-1,Do not stand up for my beliefs.,Behavioral Inhibition/Activation System
BIS_BAS,0.77,-1,Do not tend to stick with what I decide to do.,Ambition/Drive
BIS_BAS,0.79,1,Do not think about decisions.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.79,-1,Do the opposite of what is asked.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,1994,1,Do the opposite of what is asked.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do things according to a plan.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do things according to a plan.,Anxiety
BIS_BAS,0.79,1,Do things according to a plan.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.68,-1,Do things according to a plan.,Excitement-seeking
BIS_BAS,0.79,1,Do things at my own pace.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.68,1,Do things at the last minute.,Excitement-seeking
BIS_BAS,0.68,1,Do things behind other people's backs.,Excitement-seeking
BIS_BAS,0.68,1,Do things by the book.,Excitement-seeking
BIS_BAS,1994,1,Do things by the book.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do things by the book.,Anxiety
BIS_BAS,0.77,-1,Do things by the book.,Ambition/Drive
BIS_BAS,0.77,1,Do things by the book.,Ambition/Drive
BIS_BAS,0.79,1,Do things by the book.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.77,1,Do things I later regret.,Ambition/Drive
BIS_BAS,0.79,1,Do things I later regret.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.79,1,Do things I later regret.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.77,1,Do things I later regret.,Ambition/Drive
BIS_BAS,1994,1,Do things in a half-way manner.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do things in a half-way manner.,Anxiety
BIS_BAS,0.79,1,Do things in a logical order.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.77,1,Do things in a logical order.,Ambition/Drive
BIS_BAS,0.79,-1,Do things men traditionally do.,Risk-taking/Sensation-Seeking/Thrill-Seeking
BIS_BAS,0.68,-1,Do things my own way.,Excitement-seeking
BIS_BAS,1994,-1,Do things out of revenge.,Behavioral Inhibition/Activation System
BIS_BAS,1994,-1,Do things out of revenge.,Anxiety
BIS_BAS,0.77,1,Do things that others find strange.,Ambition/Drive
BIS_BAS,0.77,1,Do things that others find strange.,Ambition/Drive
BIS_BAS,0.77,1,Do things that others find strange.,Ambition/Drive
BIS_BAS,1994,1,Do things that others find strange.,Behavioral Inhibition/Activation System
BIS_BAS,1994,1,Do things that others find strange.,Anxiety
BIS_BAS,0.79,-1,Do things without thinking of the consequences.,Risk-taking/Sensation-Seeking/Thrill-Seeking
Buss1980,0.81,1,Do things without thinking of the consequences.,Introspection/Private Self-Consciousness
Buss1980,0.77,1,Do too little work.,Public Self-consciousness
Buss1980,0.77,-1,Do too little work.,Public Self-consciousness
Buss1980,0.77,-1,Do too little work.,Public Self-consciousness
Buss1980,0.77,-1,Do unexpected things.,Public Self-consciousness
Buss1980,0.81,-1,Do unexpected things.,Introspection/Private Self-Consciousness
Buss1980,0.77,-1,Do unexpected things.,Public Self-consciousness
Buss1980,0.81,1,Do unexpected things.,Introspection/Private Self-Consciousness
Buss1980,0.77,-1,Do unexpected things.,Public Self-consciousness
Buss1980,0.77,1,Do unpleasant tasks immediately.,Public Self-consciousness
Buss1980,0.81,1,Do unpleasant tasks immediately.,Introspection/Private Self-Consciousness
Buss1980,0.81,1,Do what others do.,Introspection/Private Self-Consciousness
Buss1980,0.77,1,Do what others want me to do.,Public Self-consciousness
Buss1980,0.77,1,Do woodworking,Public Self-consciousness
Buss1980,0.81,-1,Don’t have a soft side.,Introspection/Private Self-Consciousness
Buss1980,0.81,-1,Don’t put my mind on the task at hand.,Introspection/Private Self-Consciousness
Buss1980,0.77,-1,Donated money to a political campaign or cause.,Public Self-consciousness
Buss1980,0.81,-1,Donated money to charity.,Introspection/Private Self-Consciousness
Buss1980,0.81,1,Don't act is if I'm a special person.,Introspection/Private Self-Consciousness
Buss1980,0.77,1,Don't always practice what I preach.,Public Self-consciousness
Buss1980,0.77,1,Don't always practice what I preach.,Public Self-consciousness
Cacioppo1982,0.93,1,Don't approach things halfheartedly.,Need for Cognition
Cacioppo1982,0.93,-1,Don't bother to make an effort.,Need for Cognition
Cacioppo1982,0.93,-1,Don't bother worrying about political and social problems.,Need for Cognition
Cacioppo1982,0.93,1,Don't brag about my accomplishments.,Need for Cognition
Cacioppo1982,0.93,-1,Don't call attention to myself.,Need for Cognition
Cacioppo1982,0.93,1,Don't call people just to talk.,Need for Cognition
Cacioppo1982,0.93,1,Don't care about dressing nicely.,Need for Cognition
Cacioppo1982,0.93,1,Don't care about dressing nicely.,Need for Cognition
Cacioppo1982,0.93,1,Don't care about dressing nicely.,Need for Cognition
Cacioppo1982,0.93,-1,Don't care about dressing nicely.,Need for Cognition
CAT-PD,"0.82,0.84",1,Don't care about rules.,Non-Planfulness
CAT-PD,"0.85,0.83",1,Don't care about rules.,Callousness
CAT-PD,"0.82,0.84",-1,Don't care what others think.,Non-Planfulness
CAT-PD,"0.83,0.84",-1,Don't care what others think.,Norm Violation
CAT-PD,"0.86,0.82",1,Don't care what people think of me.,Peculiarity
CAT-PD,"0.82,0.85",-1,Don't care whether I'm considered special.,Irresponsibility
CAT-PD,"0.83,0.85",1,Don't consider a task finished until it's perfect.,Workaholism
CAT-PD,"0.82,0.86",-1,Don't consider myself attractive.,Emotional Detachment
